target,horizon,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,71,3,0.04225352112676056,0.04212549766445921,-0.04094574032357001,0.18691848933204494,0.39215686274509803,0.04438229228465689,0.0052048784242179425,-0.06689269202604908,0.9756863182053376
range_continuation,2H,36,1,0.027777777777777776,0.025947905753675643,0.04639238930217238,0.11096530688946371,0.8571428571428571,0.125,0.017235014947132962,-0.029711526545988975,1.2089008020082161
path_inside_70,1H,71,3,0.04225352112676056,0.04212549766445921,-0.04094574032357001,0.18691848933204494,0.39215686274509803,0.04438229228465689,0.0052048784242179425,-0.06689269202604908,0.9756863182053376
path_inside_70,2H,36,1,0.027777777777777776,0.025947905753675643,0.04639238930217238,0.11096530688946371,0.8571428571428571,0.125,0.017235014947132962,-0.029711526545988975,1.2089008020082161
range_breached,1H,71,68,0.9577464788732394,0.04212549766445921,-0.040945740323570234,0.18691848933204502,0.39215686274509803,0.9574961619685347,0.0052048784242180925,0.06689269202604937,0.9756863182053374
range_breached,2H,36,35,0.9722222222222222,0.025947905753675636,0.04639238930217249,0.1109653068894636,0.8,0.995791028532625,0.017235014947132976,0.029711526545989037,1.2089008020082157
realized_over_range_width_ge_1,1H,71,63,0.8873239436619719,0.09984352223818448,0.004946494617852237,0.3546212617286836,0.5694444444444444,0.9024896761367391,0.011358408586709185,0.11526990580305385,0.9054729069849613
realized_over_range_width_ge_1,2H,36,29,0.8055555555555556,0.1282814649955123,0.19662549857695133,0.40742850848892703,0.8177339901477833,0.949284773605826,0.04372505529903101,-0.3593896366636318,1.1237686566613525
oscillatory_path,1H,71,31,0.43661971830985913,0.24375914414576028,0.0090433882729134,0.6804937650506729,0.5661290322580645,0.4654048084217577,0.02885554401273223,-0.04687725657658462,1.0386814886528848
oscillatory_path,2H,36,14,0.3888888888888889,0.23813421779466923,0.004316859395111172,0.6693172198429271,0.6266233766233766,0.5744189231488243,0.086419938220618,-0.3259326211063284,1.1697563728805618
trend_efficiency_high,1H,71,9,0.1267605633802817,0.10965403904124635,0.021738289996247717,0.37664359172200734,0.6362007168458781,0.3733638422279395,0.02267189828450278,-0.023676675766611175,1.1079542909623867
trend_efficiency_high,2H,36,7,0.19444444444444445,0.15921613675481505,-0.01542812551246886,0.5023937614747238,0.46798029556650245,0.2882403973735243,0.0561160633646417,0.1031000069833929,0.8361896287900865
one_sided_runaway,1H,71,8,0.11267605633802817,0.09973949329519646,0.020320130272953985,0.3514230158733933,0.6626984126984127,0.3927343194331024,0.026165823680944847,-0.03958176773547107,1.1169556763010544
one_sided_runaway,2H,36,7,0.19444444444444445,0.15949179764809351,-0.01718619997554849,0.5035319687003844,0.46798029556650245,0.2882403973735243,0.058497188278570145,0.10612737040845574,0.8287219436870507
upper_breach_only,1H,71,19,0.2676056338028169,0.18770250403750408,0.054361158331826975,0.5610455359728365,0.6578947368421053,0.44194626845900165,0.02398709743662984,0.03428708313969529,1.1243024780639193
upper_breach_only,2H,36,14,0.3888888888888889,0.24085907122781786,-0.00030766579738683575,0.6761081984548216,0.4935064935064935,0.49218818636936695,0.06908430604616889,0.1955675479620658,0.8622000206179584
lower_breach_only,1H,71,19,0.2676056338028169,0.20489821167315356,-0.030130864848002537,0.6012676330339147,0.458502024291498,0.2453521526829238,0.06957183142895565,-0.2579105570429106,0.96211681572506
lower_breach_only,2H,36,11,0.3055555555555556,0.20842516479335293,0.023235594273274263,0.608753133213988,0.5927272727272728,0.489050031102817,0.10571282646025698,-0.07241339166797112,1.0432140080412973
both_side_breach,1H,71,30,0.4225352112676056,0.24898141272465665,0.023320733337736543,0.6949555984158637,0.6203252032520326,0.49801108315842524,0.11410455786044083,0.11146729066341161,0.6931787375310087
both_side_breach,2H,36,10,0.2777777777777778,0.18867432521219124,0.05977017239924931,0.5572242440080382,0.6692307692307692,0.40855842197018666,0.04186048842772486,-0.029338873771030585,1.1880644645502454
fast_1atr_touch,1H,71,69,0.971830985915493,0.026986371377300828,0.016715640191745984,0.12180489091199087,0.8695652173913043,0.9960706829076839,0.008640892882565643,0.008820234863119171,1.1008027623848446
up_excursion_ge_1_0_atr,1H,71,41,0.5774647887323944,0.23785229196972715,0.04314375188927688,0.6680017954319526,0.6414634146341464,0.7086017073390892,0.06853480223677019,-0.27203895091131686,1.0122646407364315
up_excursion_ge_1_0_atr,2H,36,23,0.6388888888888888,0.2416601895816887,0.002185391469729403,0.6838971405162044,0.5518394648829431,0.664092222223296,0.10347691430880059,-0.1898624094286496,0.6968452968488954
down_excursion_ge_1_0_atr,1H,71,43,0.6056338028169014,0.23918243333514325,0.011254986676108691,0.6707983340183127,0.5714285714285714,0.6878509921168665,0.05742625733227854,-0.15763698435697152,0.8542807081897448
down_excursion_ge_1_0_atr,2H,36,25,0.6944444444444444,0.2144451617317574,0.007760819182614842,0.619655927789609,0.5709090909090909,0.7766966043151168,0.07197001833037932,-0.052646668123170384,0.8632063776126024
mean_reversion,1H,71,27,0.38028169014084506,0.24306774228444322,0.0058729767528663546,0.6835890805184077,0.6186868686868687,0.5066393450944191,0.13527202169441613,0.3494684874749609,0.737590076362624
mean_reversion,2H,36,20,0.5555555555555556,0.28075433800219984,-0.03224948807299732,0.7546143142763376,0.58125,0.5937481916640445,0.22137427690256656,0.6802869084935746,0.6997317368280191
upside_breakout,1H,71,49,0.6901408450704225,0.2233888592855638,-0.030702474822989823,0.6387767575807698,0.5046382189239332,0.7195186597669722,0.061867091034891686,0.25316870309248773,0.8404956123284616
upside_breakout,2H,36,24,0.6666666666666666,0.2144474776911119,0.04441489840207791,0.6207779192703772,0.6319444444444444,0.7533074199706232,0.059509161076916096,0.12183657819688827,1.1286733853803153
downside_breakdown,1H,71,49,0.6901408450704225,0.20628917037562303,0.046388468281228556,0.6020345444915004,0.6252319109461967,0.7670392039666935,0.031823307844422416,-0.019559313261901762,1.0447034587387198
downside_breakdown,2H,36,21,0.5833333333333334,0.23725023360214484,0.03093908968013781,0.6673329934938824,0.6222222222222222,0.6981082526664869,0.0570653708185896,-0.22929178599395536,1.0189086829501206
trend_continuation,1H,71,20,0.28169014084507044,0.195876613680382,0.04892596562192708,0.5790792875442552,0.6058823529411764,0.4119994594688176,0.0016246252183027944,0.04728205020109555,1.0878132736787858
trend_continuation,2H,36,13,0.3611111111111111,0.23345564065868324,-0.011194619581223808,0.6604886873334904,0.4280936454849498,0.3558203246957427,0.02744487410840718,0.05488342243015656,0.8894734322710459
