horizon,n,range_50_actual_coverage,range_70_actual_coverage,range_90_actual_coverage,range_50_average_width,range_70_average_width,range_90_average_width,range_50_median_width,range_70_median_width,range_90_median_width,range_50_average_width_pct_spot,range_70_average_width_pct_spot,range_90_average_width_pct_spot,max_up_excursion_mean,max_down_excursion_mean
1H,1190,0.27899159663865547,0.41092436974789914,0.5689075630252101,7.7321680672268895,12.002411764705872,18.92668067226892,6.274999999999864,9.740000000000009,15.365000000000009,0.0034962743247673317,0.0054271706031984316,0.008558141496828183,14.015336134453776,7.744915966386554
2H,1178,0.298811544991511,0.4371816638370119,0.6018675721561969,10.898336162988118,16.917139219015283,26.67640067911715,8.660000000000196,13.440000000000055,21.190000000000055,0.004933714112600673,0.00765845637216236,0.012076484877961521,23.037139219015266,9.882852292020369
4H,1154,0.3292894280762565,0.44540727902946275,0.5961871750433275,15.306837088388216,23.759809358752165,37.46747833622183,11.854999999999905,18.404999999999973,29.019999999999868,0.006944853813436617,0.010780049171595583,0.016999348683222826,39.10086655112651,12.045883882149042
8H,1106,0.2613019891500904,0.36075949367088606,0.49547920433996384,20.887911392405055,32.42302893309223,51.128707052441236,15.470000000000255,24.019999999999982,37.86999999999989,0.009535123154181473,0.014800782848473654,0.023339754663492984,67.78200723327306,13.853707052441226
12H,1058,0.14555765595463138,0.21928166351606806,0.40831758034026466,24.175538752362947,37.52647448015122,59.17640831758034,17.110000000000014,26.55499999999995,41.88499999999999,0.011136815751117597,0.017287114186038274,0.027260483073752628,96.12273156899812,13.657561436672973
24H,915,0.12240437158469945,0.18469945355191256,0.27650273224043714,32.34507103825136,50.20783606557378,79.17259016393443,17.330000000000155,26.889999999999873,42.41000000000008,0.015145252472917032,0.023509342283191598,0.037071723280389116,179.66721311475413,14.28601092896175
