feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
rsi_neutral_dist_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
bb_keltner_width_ratio_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.5,[-0.5]
rsi_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
mfi_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4964311206281228,[-0.4964311206281228]
sma_slope_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49857244825124913,[-0.49857244825124913]
rolling_vwap_z_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
di_spread_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4971448965024982,[-0.4971448965024982]
price_efficiency_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49785867237687365,[-0.49785867237687365]
plus_di_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4971448965024982,[-0.4971448965024982]
macd_hist_24_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49571734475374735,[-0.49571734475374735]
rolling_vwap_dist_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.43467336683417085,"[-0.4906609195402299, -0.4899497487437186, -0.43467336683417085]"
ema_spread_atr_24_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49214846538187007,[-0.49214846538187007]
rv_12b,realized_over_range_width_ge_1,24H,3,True,0.270213427608105,"[-0.3289409418372746, -0.3706522287848958, -0.270213427608105]"
price_efficiency_48b,fast_1atr_touch,4H,1,True,0.4744971264367816,[-0.4744971264367816]
rolling_vwap_z_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49143468950749464,[-0.49143468950749464]
price_efficiency_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49214846538187007,[-0.49214846538187007]
rolling_vwap_dist_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4907209136331192,[-0.4907209136331192]
rolling_low_dist_12b,fast_1atr_touch,4H,1,True,0.4899425287356322,[-0.4899425287356322]
dema_dist_6b,down_excursion_ge_1_0_atr,1H,3,True,0.20919646658871716,"[-0.23311070563798902, -0.20919646658871716, -0.23169658356866585]"
price_efficiency_6b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.49142857142857144,[0.49142857142857144]
price_efficiency_24b,fast_1atr_touch,4H,1,True,0.46875,[-0.46875]
mfi_24b,fast_1atr_touch,4H,1,True,0.46228448275862066,[-0.46228448275862066]
tema_dist_6b,down_excursion_ge_1_0_atr,1H,3,True,0.210917664127675,"[-0.22928931272305803, -0.210917664127675, -0.22519720387353298]"
atr_6b,realized_over_range_width_ge_1,24H,3,True,0.2720670071033422,"[-0.31406447148846106, -0.3603033974456055, -0.2720670071033422]"
atr_pct_24b,realized_over_range_width_ge_1,24H,3,True,0.2941912992241972,"[-0.32617322642354185, -0.35276894340956133, -0.2941912992241972]"
atr_12b,range_held,12H,3,True,0.3184820061255743,"[0.338940130806641, 0.32303184491775117, 0.3184820061255743]"
atr_12b,path_inside_70,12H,3,True,0.3184820061255743,"[0.338940130806641, 0.32303184491775117, 0.3184820061255743]"
atr_12b,range_breached,12H,3,True,0.3184820061255743,"[-0.338940130806641, -0.32303184491775117, -0.3184820061255743]"
atr_24b,realized_over_range_width_ge_1,12H,3,True,0.2847896625438998,"[-0.2948068719013029, -0.293541221213502, -0.2847896625438998]"
rv_24b,realized_over_range_width_ge_1,24H,3,True,0.2735809682804674,"[-0.34415828890064715, -0.35284466656570246, -0.2735809682804674]"
