feature,target,horizon,blocks,stable_sign,min_abs_auc_edge,edges
rolling_low_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4842969307637402,[-0.4842969307637402]
dema_dist_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48636037329504667,[-0.48636037329504667]
macd_hist_48_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.41385498923187364,"[-0.49353448275862066, -0.4956927494615937, -0.41385498923187364]"
dema_dist_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4371841155234657,"[-0.48628158844765346, -0.4927797833935018, -0.4371841155234657]"
minus_di_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4950035688793719,[0.4950035688793719]
ema_spread_24_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48501070663811563,[-0.48501070663811563]
rolling_vwap_z_288b,fast_1atr_touch,4H,1,True,0.47198275862068967,[-0.47198275862068967]
atr_24b,upside_breakout_occurred,12H,3,True,0.1626723278602193,"[-0.19273712079097416, -0.1626723278602193, -0.20100503092402844]"
ema_spread_24_96b,fast_1atr_touch,4H,1,True,0.4863505747126437,[-0.4863505747126437]
rv_slope_48b,fast_1atr_touch,2H,3,True,0.36043457497612225,"[-0.36043457497612225, -0.45615916130569456, -0.3617875180375181]"
price_efficiency_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4892933618843683,[-0.4892933618843683]
bollinger_squeeze_pctile_48b,realized_over_range_width_ge_1,24H,3,True,0.21706111493011226,"[-0.26764418576254634, -0.2542878237164925, -0.21706111493011226]"
sma_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48358315488936476,[-0.48358315488936476]
bb_keltner_width_ratio_20b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4892933618843683,[-0.4892933618843683]
keltner_width_20b,realized_over_range_width_ge_1,4H,3,True,0.17697401508801341,"[-0.17697401508801341, -0.24758609326083375, -0.2513522079460201]"
atr_12b,upside_breakout_occurred,12H,3,True,0.15626822020350206,"[-0.1939384064221923, -0.15626822020350206, -0.19635373396104494]"
minus_di_14b,fast_1atr_touch,4H,1,True,0.4644396551724138,[0.4644396551724138]
ema_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4828693790149893,[-0.4828693790149893]
ema_slope_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4828693790149893,[-0.4828693790149893]
return_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48572448251249106,[-0.48572448251249106]
roc_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48572448251249106,[-0.48572448251249106]
rolling_vwap_z_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3765254845656856,"[-0.49137931034482757, -0.4885139985642498, -0.3765254845656856]"
rolling_vwap_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.480728051391863,[-0.480728051391863]
rsi_slope_6b,down_excursion_ge_1_0_atr,1H,3,True,0.16932280789497994,"[-0.17207055232324625, -0.16932280789497994, -0.19326421891343815]"
atr_pct_24b,realized_over_range_width_ge_1,8H,3,True,0.24672072501788694,"[-0.27479042502962114, -0.24672072501788694, -0.26086515300632246]"
bollinger_squeeze_pctile_20b,realized_over_range_width_ge_1,24H,3,True,0.19645896756031295,"[-0.25338332858480195, -0.2926794638800545, -0.19645896756031295]"
consecutive_up_bars,up_excursion_ge_1_0_atr,1H,3,True,0.17106423966462714,"[0.17106423966462714, 0.17622440642942805, 0.1862134748116776]"
ema_slope_96b,fast_1atr_touch,4H,1,True,0.4849137931034483,[-0.4849137931034483]
tema_dist_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4771591720199857,[0.4771591720199857]
atr_48b,upside_breakout_occurred,12H,3,True,0.15893072090880023,"[-0.18713964093487284, -0.15893072090880023, -0.2061974983845657]"
bollinger_bandwidth_20b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.43610911701363964,"[-0.4885057471264368, -0.49066762383345297, -0.43610911701363964]"
ema_dist_24b,fast_1atr_touch,4H,1,True,0.4816810344827586,[-0.4816810344827586]
atr_slope_96b,realized_over_range_width_ge_1,8H,3,True,0.18710180232360057,"[-0.26396201370143696, -0.18710180232360057, -0.23574385466409836]"
mfi_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.487152034261242,[-0.487152034261242]
bb_keltner_width_ratio_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48572448251249106,[-0.48572448251249106]
bollinger_bandwidth_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.47644539614561027,[-0.47644539614561027]
sma_dist_24b,fast_1atr_touch,4H,1,True,0.4816810344827586,[-0.4816810344827586]
ema_spread_24_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.40093323761665467,"[-0.4849137931034483, -0.4971284996410625, -0.40093323761665467]"
rolling_low_dist_48b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4735902926481085,[-0.4735902926481085]
roc_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3944723618090452,"[-0.4899425287356322, -0.4856424982053123, -0.3944723618090452]"
return_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3944723618090452,"[-0.4899425287356322, -0.4856424982053123, -0.3944723618090452]"
ema_spread_atr_6_24b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.48572448251249106,[-0.48572448251249106]
rv_12b,realized_over_range_width_ge_1,8H,3,True,0.23925164571310403,"[-0.27933381439809, -0.24112466355490442, -0.23925164571310403]"
atr_48b,realized_over_range_width_ge_1,12H,3,True,0.25366539836273494,"[-0.25366539836273494, -0.2580159662098216, -0.2760116048251642]"
atr_24b,range_held,24H,3,True,0.31727539966979423,"[0.36462420590433486, 0.3815612623429687, 0.31727539966979423]"
atr_24b,path_inside_70,24H,3,True,0.31727539966979423,"[0.36462420590433486, 0.3815612623429687, 0.31727539966979423]"
atr_24b,range_breached,24H,3,True,0.31727539966979423,"[-0.36462420590433486, -0.3815612623429688, -0.31727539966979423]"
sma_slope_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3858578607322326,"[-0.4870689655172414, -0.4956927494615937, -0.3858578607322326]"
atr_slope_288b,fast_1atr_touch,4H,1,True,0.4468390804597701,[-0.4468390804597701]
tema_dist_96b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4714489650249822,[-0.4714489650249822]
ema_slope_24b,fast_1atr_touch,4H,1,True,0.4917385057471264,[-0.4917385057471264]
bollinger_bandwidth_48b,realized_over_range_width_ge_1,24H,3,True,0.2511825264329438,"[-0.28587854613537383, -0.2972891110101469, -0.2511825264329438]"
consecutive_down_bars,up_excursion_ge_1_0_atr,1H,3,True,0.1573417541401692,"[-0.1573417541401692, -0.1824872501519058, -0.17727971773939183]"
dema_dist_6b,up_excursion_ge_1_0_atr,4H,3,True,0.18315842627557744,"[0.18584894991385104, 0.20142378559463991, 0.18315842627557744]"
ema_dist_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.47644539614561027,[-0.47644539614561027]
tema_dist_96b,fast_1atr_touch,4H,1,True,0.4791666666666667,[-0.4791666666666667]
ema_dist_288b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.42462311557788945,"[-0.47629310344827586, -0.49641062455132806, -0.42462311557788945]"
rolling_vwap_dist_288b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4678800856531049,[-0.4678800856531049]
sma_slope_12b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.4678800856531049,[-0.4678800856531049]
roc_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3908829863603733,"[-0.48563218390804597, -0.4885139985642498, -0.3908829863603733]"
return_96b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3908829863603733,"[-0.48563218390804597, -0.4885139985642498, -0.3908829863603733]"
consecutive_up_bars,down_excursion_ge_1_0_atr,2H,3,True,0.16981784878396256,"[-0.16981784878396256, -0.17794100225091813, -0.18479374218311984]"
bollinger_squeeze_pctile_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3621679827709978,"[-0.47270114942528735, -0.4644651830581479, -0.3621679827709978]"
return_3b,down_excursion_ge_1_0_atr,1H,3,True,0.16255291443350295,"[-0.1779931375586693, -0.16255291443350295, -0.17514379794647023]"
rsi_slope_6b,up_excursion_ge_1_0_atr,1H,3,True,0.16225413469642402,"[0.16225413469642402, 0.18072013599837966, 0.16806100274734237]"
di_spread_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.3284278535534817,"[-0.49712643678160917, -0.48133524766690594, -0.3284278535534817]"
bollinger_bandwidth_20b,path_inside_70,24H,3,True,0.2919381468207627,"[0.3598654708520179, 0.4037472446730346, 0.2919381468207627]"
bollinger_bandwidth_20b,range_breached,24H,3,True,0.2919381468207627,"[-0.3598654708520179, -0.4037472446730345, -0.2919381468207627]"
bollinger_bandwidth_20b,range_held,24H,3,True,0.2919381468207627,"[0.3598654708520179, 0.4037472446730346, 0.2919381468207627]"
bb_keltner_width_ratio_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.34278535534816945,"[-0.5, -0.47559224694903085, -0.34278535534816945]"
atr_slope_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.35570710696338836,"[-0.4949712643678161, -0.35570710696338836, -0.4468772433596554]"
dema_dist_12b,max_abs_excursion_ge_1_5_atr,12H,1,True,0.46145610278372595,[0.46145610278372595]
minus_di_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.31909547738693467,"[0.49497126436781613, 0.49856424982053127, 0.31909547738693467]"
rolling_low_dist_48b,max_abs_excursion_ge_1_5_atr,8H,3,True,0.4296482412060302,"[-0.4734195402298851, -0.4798994974874372, -0.4296482412060302]"
dema_dist_6b,down_excursion_ge_1_0_atr,4H,3,True,0.19155496621027912,"[-0.19155496621027912, -0.19381461078816287, -0.19302223119710682]"
atr_12b,range_breached,4H,3,True,0.23262887472431593,"[-0.23262887472431593, -0.28050149700598803, -0.3104233265523588]"
