interaction,target,horizon,thirds,min_n,lifts,chronologically_stable
bb_compressed_and_falling_atr_slope,trend_efficiency_high,1H,3,191,"-0.0360,0.0015,-0.0389",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,24H,3,191,"-0.0705,-0.0279,-0.0267",True
bb_compressed_and_falling_atr_slope,trend_efficiency_high,2H,3,191,"-0.0665,-0.0050,0.0002",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,4H,3,191,"-0.0172,-0.0098,0.0107",False
bb_compressed_and_falling_atr_slope,trend_efficiency_high,8H,3,191,"0.0244,0.0030,0.0404",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,12H,3,191,"0.1902,0.0884,0.1328",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,1H,3,191,"0.1001,0.0312,0.0812",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,24H,3,191,"0.2281,0.1059,0.1364",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,2H,3,191,"0.1355,0.0499,0.1131",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,4H,3,191,"0.2200,0.0362,0.1376",True
bb_compressed_and_falling_atr_slope,upside_breakout_occurred,8H,3,191,"0.1883,0.0558,0.1583",True
bb_compressed_and_high_efficiency,downside_breakdown_occurred,12H,3,69,"0.1906,-0.0579,0.0925",False
bb_compressed_and_high_efficiency,downside_breakdown_occurred,1H,3,69,"0.0354,-0.0103,0.1212",False
bb_compressed_and_high_efficiency,downside_breakdown_occurred,24H,3,69,"0.1906,0.0500,0.1317",True
bb_compressed_and_high_efficiency,downside_breakdown_occurred,2H,3,69,"0.0775,-0.0118,0.1005",False
bb_compressed_and_high_efficiency,downside_breakdown_occurred,4H,3,69,"0.0788,-0.0092,0.1024",False
bb_compressed_and_high_efficiency,downside_breakdown_occurred,8H,3,69,"0.1073,-0.0769,0.0461",False
bb_compressed_and_high_efficiency,fast_1atr_touch,1H,3,69,"0.0100,0.0187,0.0019",True
bb_compressed_and_high_efficiency,fast_1atr_touch,2H,3,69,"0.0043,0.0047,0.0021",True
bb_compressed_and_high_efficiency,fast_1atr_touch,4H,3,69,"0.0000,0.0014,0.0000",True
bb_compressed_and_high_efficiency,max_abs_excursion_ge_1_5_atr,12H,3,69,"0.0007,0.0000,0.0000",True
bb_compressed_and_high_efficiency,max_abs_excursion_ge_1_5_atr,1H,3,69,"0.0871,0.0664,0.0607",True
