target,horizon,feature,model_family,feature_set,permutation_brier_increase,test_brier_skill
range_continuation,24H,keltner_width_20b,logistic,step11_individuals,-1.7756435154447914e-06,0.022545576484792162
range_continuation,24H,rv_12b,logistic,step11_individuals,0.00027728585745384615,0.022545576484792162
range_continuation,24H,price_efficiency_96b,logistic,step11_individuals,0.00014739227514348752,0.022545576484792162
range_continuation,24H,rolling_vwap_z_96b,logistic,step11_individuals,5.263679354444717e-05,0.022545576484792162
range_continuation,24H,donchian_pos_96b,logistic,step11_individuals,-2.412876537857822e-05,0.022545576484792162
range_continuation,24H,volume_z_96b,logistic,step11_individuals,-0.0001404320796495745,0.022545576484792162
path_inside_70,1H,atr_slope_96b,logistic,step11_individuals,-0.00011068190809210982,-0.00012069118430813042
path_inside_70,1H,rv_slope_96b,logistic,step11_individuals,-1.7287185436809516e-05,-0.00012069118430813042
path_inside_70,1H,atr_pct_12b,logistic,step11_individuals,3.2577343787171253e-07,-0.00012069118430813042
path_inside_70,1H,bollinger_bandwidth_20b,logistic,step11_individuals,0.00011268324034582194,-0.00012069118430813042
path_inside_70,1H,keltner_width_20b,logistic,step11_individuals,5.921492289413105e-05,-0.00012069118430813042
path_inside_70,1H,rv_12b,logistic,step11_individuals,2.0289980703525057e-05,-0.00012069118430813042
path_inside_70,1H,price_efficiency_96b,logistic,step11_individuals,-5.9313335647702414e-05,-0.00012069118430813042
path_inside_70,1H,rolling_vwap_z_96b,logistic,step11_individuals,2.3835699987720393e-06,-0.00012069118430813042
path_inside_70,1H,donchian_pos_96b,logistic,step11_individuals,3.2233320780741814e-05,-0.00012069118430813042
path_inside_70,1H,volume_z_96b,logistic,step11_individuals,6.659601986580554e-05,-0.00012069118430813042
path_inside_70,2H,atr_slope_96b,tree_depth2,compact_deredundant,-0.00015946065333392184,0.010502672763707088
path_inside_70,2H,atr_pct_12b,tree_depth2,compact_deredundant,5.164273371764672e-06,0.010502672763707088
path_inside_70,2H,bollinger_bandwidth_20b,tree_depth2,compact_deredundant,-0.000739676539431175,0.010502672763707088
