target,horizon,expected_sha256,observed_sha256,status,features
realized_over_range_width_ge_1,12H,fb9eda0fba033a1f7a024f96d5daf9275e67b0dc6d85c9c4e60941327bc1310f,fb9eda0fba033a1f7a024f96d5daf9275e67b0dc6d85c9c4e60941327bc1310f,MATCH,"cvd_increment,cvd_5m,cvd_15m,cvd_1h,taker_buy_ratio,total_volume"
up_excursion_ge_1_0_atr,1H,eaa2b4db1da44c104245f335da9f8b7e8d17b8fb1f26348c90b32d37c777f499,eaa2b4db1da44c104245f335da9f8b7e8d17b8fb1f26348c90b32d37c777f499,MATCH,"cvd_increment,cvd_5m,cvd_15m,cvd_1h,taker_buy_ratio,total_volume"
