target,horizon,regime,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,LOW_VOL_RANGE,579,24,0.04145077720207254,0.03912721455871588,0.015283424561446268,0.16560456963711234,0.6870870870870871,0.09348148782837729,0.004206572318342421,0.0015882182129764322,1.0446740012248263
range_continuation,1H,NORMAL_RANGE,176,8,0.045454545454545456,0.04397943563267554,-0.013459543891576997,0.19075418733285565,0.4114583333333333,0.07731971434796749,0.006617736137488704,-0.047393459219761014,1.009258263326041
range_continuation,2H,LOW_VOL_RANGE,579,21,0.03626943005181347,0.03535515847764491,-0.010507424536568832,0.16000077331553933,0.5386584741423451,0.047743918017426515,2.0448530124943243e-05,-0.04074912848566323,0.9489325171815732
range_continuation,2H,NORMAL_RANGE,176,11,0.0625,0.05739919722147004,0.02732020612568664,0.2247583456024304,0.6942148760330579,0.18459734848609502,0.023532867294428668,0.058073846839025174,0.8531392043821047
range_continuation,4H,LOW_VOL_RANGE,579,17,0.02936096718480138,0.029233473937495962,-0.018806906136492385,0.15677295230292174,0.5363198660247017,0.03614089020893962,0.008239983655463683,-0.07802890120829792,0.7619909979823636
range_continuation,4H,NORMAL_RANGE,176,8,0.045454545454545456,0.04240679726371931,0.02272665381005945,0.17104856810602262,0.7455357142857143,0.20843234694731877,0.01916052430772851,0.044328887747733185,0.8146930476953674
range_continuation,8H,LOW_VOL_RANGE,579,25,0.04317789291882556,0.040479926751786945,0.02149637859416975,0.1739155253913488,0.6071480144404332,0.17745638969219843,0.01400521054263975,0.03780291601465481,0.8931752303008333
range_continuation,8H,NORMAL_RANGE,176,16,0.09090909090909091,0.08106775692279343,0.03795861191716543,0.31241490118787296,0.74921875,0.21481155129137036,0.05457106067965723,0.13360515006091161,0.7345337049950728
range_continuation,12H,LOW_VOL_RANGE,579,25,0.04317789291882556,0.03777554087081533,0.0860708520479525,0.14849993488300814,0.9048375451263538,0.45141270657383126,0.0014556409507674867,0.06663913259649112,1.098174707034254
range_continuation,12H,NORMAL_RANGE,176,17,0.09659090909090909,0.0862394611821073,0.0381631386625102,0.306840038979402,0.7439881613022568,0.250032510397323,0.04658985883412481,0.11811236890912344,0.8446271682048071
range_continuation,24H,LOW_VOL_RANGE,579,33,0.05699481865284974,0.05208857126098924,0.0370615556737488,0.20532306951504894,0.7706737706737706,0.21779351254615364,0.030480758816368806,0.11318965550980441,0.8206739921098251
range_continuation,24H,NORMAL_RANGE,176,16,0.09090909090909091,0.0829822448332838,0.02836964672054343,0.30685836329541066,0.8,0.2864656946917102,0.0630210878736035,0.17016191560247337,0.7341475306242764
path_inside_70,1H,LOW_VOL_RANGE,579,24,0.04145077720207254,0.03912721455871588,0.015283424561446268,0.16560456963711234,0.6870870870870871,0.09348148782837729,0.004206572318342421,0.0015882182129764322,1.0446740012248263
path_inside_70,1H,NORMAL_RANGE,176,8,0.045454545454545456,0.04397943563267554,-0.013459543891576997,0.19075418733285565,0.4114583333333333,0.07731971434796749,0.006617736137488704,-0.047393459219761014,1.009258263326041
path_inside_70,2H,LOW_VOL_RANGE,579,21,0.03626943005181347,0.03535515847764491,-0.010507424536568832,0.16000077331553933,0.5386584741423451,0.047743918017426515,2.0448530124943243e-05,-0.04074912848566323,0.9489325171815732
path_inside_70,2H,NORMAL_RANGE,176,11,0.0625,0.05739919722147004,0.02732020612568664,0.2247583456024304,0.6942148760330579,0.18459734848609502,0.023532867294428668,0.058073846839025174,0.8531392043821047
path_inside_70,4H,LOW_VOL_RANGE,579,17,0.02936096718480138,0.029233473937495962,-0.018806906136492385,0.15677295230292174,0.5363198660247017,0.03614089020893962,0.008239983655463683,-0.07802890120829792,0.7619909979823636
path_inside_70,4H,NORMAL_RANGE,176,8,0.045454545454545456,0.04240679726371931,0.02272665381005945,0.17104856810602262,0.7455357142857143,0.20843234694731877,0.01916052430772851,0.044328887747733185,0.8146930476953674
path_inside_70,8H,LOW_VOL_RANGE,579,25,0.04317789291882556,0.040479926751786945,0.02149637859416975,0.1739155253913488,0.6071480144404332,0.17745638969219843,0.01400521054263975,0.03780291601465481,0.8931752303008333
path_inside_70,8H,NORMAL_RANGE,176,16,0.09090909090909091,0.08106775692279343,0.03795861191716543,0.31241490118787296,0.74921875,0.21481155129137036,0.05457106067965723,0.13360515006091161,0.7345337049950728
path_inside_70,12H,LOW_VOL_RANGE,579,25,0.04317789291882556,0.03777554087081533,0.0860708520479525,0.14849993488300814,0.9048375451263538,0.45141270657383126,0.0014556409507674867,0.06663913259649112,1.098174707034254
path_inside_70,12H,NORMAL_RANGE,176,17,0.09659090909090909,0.0862394611821073,0.0381631386625102,0.306840038979402,0.7439881613022568,0.250032510397323,0.04658985883412481,0.11811236890912344,0.8446271682048071
path_inside_70,24H,LOW_VOL_RANGE,579,33,0.05699481865284974,0.05208857126098924,0.0370615556737488,0.20532306951504894,0.7706737706737706,0.21779351254615364,0.030480758816368806,0.11318965550980441,0.8206739921098251
path_inside_70,24H,NORMAL_RANGE,176,16,0.09090909090909091,0.0829822448332838,0.02836964672054343,0.30685836329541066,0.8,0.2864656946917102,0.0630210878736035,0.17016191560247337,0.7341475306242764
range_breached,1H,LOW_VOL_RANGE,579,555,0.9585492227979274,0.03912721455871587,0.01528342456144649,0.16560456963711234,0.6870870870870871,0.9784789222021565,0.0042065723183424275,-0.001588218212976442,1.0446740012248263
