event,horizon,feature,n,true_mean,false_mean,point_biserial,spearman,univariate_auc_positive_orientation,orientation,classification
mean_reversion,1H,return_5m,3679,-4.28420503159455e-05,-2.2041393763254863e-05,-0.005515805098897075,-0.004705053154123117,0.49712666481503526,weak_flat,WEAK
mean_reversion,1H,return_15m,3679,-9.592803056804352e-05,-1.9179227790968443e-06,-0.01620518457559462,-0.013526603648557171,0.49173940932957716,weak_flat,WEAK
mean_reversion,1H,return_1h,3679,-0.00019791141817427063,9.848213335995575e-05,-0.024170676235308698,-0.030034870888499477,0.4816579375471174,weak_flat,WEAK
mean_reversion,1H,return_4h,3679,-0.0005852806963726952,0.0002653673487804095,-0.03584844225228031,-0.04356796922339607,0.4733933790950813,weak_flat,WEAK
mean_reversion,1H,vwap,3679,1815.0984304554554,1817.3767009074584,-0.008010240204968074,0.003303278065009128,0.5020172863018952,weak_flat,WEAK
mean_reversion,1H,vwap_deviation_pct,3679,-0.000390546885750136,-1.6004019523619705e-05,-0.013071379095359072,-0.03319033743044166,0.4797309182769247,weak_flat,WEAK
mean_reversion,1H,vwap_zscore,3679,0.21084881047364656,0.5854054938670848,-0.026891191163253593,-0.03864364290016333,0.4764006269094949,weak_flat,WEAK
mean_reversion,1H,atr,3679,3.406330645161291,3.634286592865929,-0.04988354762268836,-0.03532358256399567,0.4784281633138912,weak_flat,WEAK
mean_reversion,1H,atr_pct,3679,0.0019107769194280145,0.0020315139977066976,-0.04486147292954566,-0.03218002488015367,0.48034790831779284,weak_flat,WEAK
mean_reversion,1H,realized_volatility,3679,46.016163915055365,49.174993840590346,-0.07065663587443485,-0.09211386612030863,0.4437467761774392,higher_feature_lower_event,CONDITIONAL
mean_reversion,1H,volume,3679,112946.09112903225,103222.0442804428,0.037100688619647895,0.004388308274550292,0.5026799058313164,weak_flat,WEAK
mean_reversion,1H,volume_zscore,3679,0.38749843767353914,0.20973799110972893,0.0671930511308497,0.02468497845269565,0.5150749249427978,weak_flat,WEAK
mean_reversion,2H,return_5m,3679,-6.53128706057281e-05,2.0283455366861527e-06,-0.018832464693840624,-0.01185117702362748,0.4931373965510988,weak_flat,WEAK
mean_reversion,2H,return_15m,3679,-0.00010672250119104608,2.906927585048211e-05,-0.02468580198894845,-0.01695017922340377,0.4901847290127828,weak_flat,WEAK
mean_reversion,2H,return_1h,3679,-0.00023181866209992703,0.00019607059716027895,-0.036799826696213005,-0.029417921130424567,0.4829650822983241,weak_flat,WEAK
mean_reversion,2H,return_4h,3679,-0.0007402736963637834,0.0005948852279651596,-0.059340019043656086,-0.06001048415673967,0.46524996893337117,weak_flat,WEAK
mean_reversion,2H,vwap,3679,1816.377077957939,1816.8074451819662,-0.0015957828331825915,0.008078749041872592,0.5046781289149155,weak_flat,WEAK
mean_reversion,2H,vwap_deviation_pct,3679,-0.00047733639362101173,0.0001449799366078752,-0.022904742622622758,-0.04104883441738466,0.4762300155362873,weak_flat,WEAK
mean_reversion,2H,vwap_zscore,3679,0.2576136456901912,0.6319174932595643,-0.02834073560952646,-0.044178476903356655,0.47441774597189196,weak_flat,WEAK
mean_reversion,2H,atr,3679,3.4053697627460884,3.687812792961709,-0.06518258869018714,-0.04733276509518309,0.4725912065684069,weak_flat,WEAK
mean_reversion,2H,atr_pct,3679,0.0019082620567586982,0.002061583567956135,-0.060080051412094326,-0.04327182522516988,0.47494275713506817,weak_flat,WEAK
mean_reversion,2H,realized_volatility,3679,46.281827965943506,49.67759179489976,-0.08010479772528857,-0.10599045617969233,0.4386245302101412,higher_feature_lower_event,CONDITIONAL
mean_reversion,2H,volume,3679,109155.4988221437,104222.95911155982,0.019847227888460422,-0.013775098846748672,0.4920233085929998,weak_flat,WEAK
