feature,n,min,p01,p10,median,p90,p99,max,mean,std,near_constant,extreme_outlier_flag
atr_slope_96b,25236,-0.6294845360824829,-0.40687547746371516,-0.19121763470958883,0.00020385945136853895,0.1602316602316604,0.3066151617576068,0.5902578796561609,-0.0096743682154541,0.14279835753203043,False,False
rv_slope_96b,25236,-1.9998777480904069,-0.6807378644004437,-0.21933975097702374,0.0012632717728927427,0.18297108194914274,0.4172155521019095,0.6897043357603966,-0.017495184956052838,0.19614442130175563,False,False
atr_pct_12b,25236,0.00017031630170312882,0.0003453589076032374,0.0008247730070791166,0.001690960653492682,0.0035799310663397806,0.006449125428664454,0.013121386673418564,0.0019949300360962543,0.0012693264527720144,False,False
bollinger_bandwidth_20b,25236,0.0005538491014249581,0.0012928287497779621,0.002668179727573364,0.006455209974328999,0.01662833278978203,0.0423576395712374,0.12025344668168295,0.008657789460032457,0.007991748356859214,False,False
keltner_width_20b,25236,0.0007818234036442448,0.0014892032762472552,0.0034139019580127546,0.006809836243725612,0.01384448332026307,0.025350644798344927,0.0411203795141127,0.007974984174758438,0.004821982254238537,False,False
rv_12b,25236,3.609292091762085,7.38597319951662,15.593671618091937,33.69301984887813,75.54956953954931,140.82306980339857,395.0197284456348,40.8751567824193,29.140738262996503,False,False
price_efficiency_96b,25236,0.0,0.001328021248340274,0.014564102564102309,0.07929269585169976,0.20064812314339667,0.35066981875492675,0.585577074476462,0.09642642851580466,0.07704458494871923,False,False
rolling_vwap_z_96b,25236,-12.698960577554157,-7.553987015184007,-3.796197982829765,0.16234408318024868,3.8078244454596657,8.466644441273822,19.55380643431381,0.11786255204481808,3.1145808598870746,False,False
donchian_pos_96b,25236,0.0,0.03365906623235518,0.15552855407047575,0.5269816211372887,0.846278317152104,0.9606656580937986,1.0,0.5136951451712262,0.25365662999229666,False,False
volume_z_96b,25236,-1.4520334407440505,-1.1344231736672552,-0.8010884711854376,-0.0741256723032859,1.7416739409884074,5.373890006694312,8.673960033539403,0.2788271937073386,1.255101585417371,False,False
