feature,target,regime,horizon,n,auc_oriented
atr_slope_96b,downside_breakdown_occurred,TREND_UP,1H,179,0.5711620469083156
atr_slope_96b,downside_breakdown_occurred,TREND_UP,24H,179,0.6382951973849635
atr_slope_96b,downside_breakdown_occurred,TREND_UP,2H,179,0.6033257171871034
atr_slope_96b,downside_breakdown_occurred,TREND_UP,4H,179,0.5748717948717949
atr_slope_96b,downside_breakdown_occurred,TREND_UP,8H,179,0.6213642213642214
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,12H,324,0.5708168120539254
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,1H,324,0.562786118631553
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,24H,324,0.6694935887031326
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,2H,324,0.578387210740152
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,4H,319,0.5732776793996122
atr_slope_96b,downside_breakdown_occurred,VOLATILITY_EXPANSION,8H,319,0.5397353748855788
atr_slope_96b,range_breached,HIGH_VOL,12H,163,0.7725225225225225
atr_slope_96b,range_breached,HIGH_VOL,1H,163,0.7430379746835443
atr_slope_96b,range_breached,HIGH_VOL,24H,163,0.9184615384615384
atr_slope_96b,range_breached,HIGH_VOL,2H,163,0.713375796178344
atr_slope_96b,range_breached,HIGH_VOL,4H,163,0.6556776556776557
atr_slope_96b,range_breached,HIGH_VOL,8H,163,0.6867132867132867
atr_slope_96b,range_breached,LOW_VOL_RANGE,12H,1024,0.8544535283993115
atr_slope_96b,range_breached,LOW_VOL_RANGE,1H,1024,0.6547550590103781
atr_slope_96b,range_breached,LOW_VOL_RANGE,24H,1024,0.7073380867498514
atr_slope_96b,range_breached,LOW_VOL_RANGE,2H,1024,0.6300044984255511
atr_slope_96b,range_breached,LOW_VOL_RANGE,4H,1016,0.6944404279930596
atr_slope_96b,range_breached,LOW_VOL_RANGE,8H,1016,0.8230552342394448
atr_slope_96b,range_breached,NORMAL_RANGE,12H,2314,0.7536937754822457
atr_slope_96b,range_breached,NORMAL_RANGE,1H,2314,0.6382543964828138
atr_slope_96b,range_breached,NORMAL_RANGE,24H,2314,0.8431595483914348
atr_slope_96b,range_breached,NORMAL_RANGE,2H,2314,0.7701820396492369
atr_slope_96b,range_breached,NORMAL_RANGE,4H,2303,0.7509443178117877
atr_slope_96b,range_breached,NORMAL_RANGE,8H,2303,0.7757740656373914
atr_slope_96b,range_breached,TREND_DOWN,12H,190,0.7621951219512195
atr_slope_96b,range_breached,TREND_DOWN,1H,190,0.7851071064263856
atr_slope_96b,range_breached,TREND_DOWN,24H,190,0.8960843373493976
atr_slope_96b,range_breached,TREND_DOWN,2H,190,0.7612600885186149
atr_slope_96b,range_breached,TREND_DOWN,4H,189,0.746456332876086
atr_slope_96b,range_breached,TREND_DOWN,8H,189,0.8058080808080808
atr_slope_96b,range_breached,TREND_UP,12H,179,0.806896551724138
atr_slope_96b,range_breached,TREND_UP,1H,179,0.5813823857302118
atr_slope_96b,range_breached,TREND_UP,24H,179,0.7594607379375591
atr_slope_96b,range_breached,TREND_UP,2H,179,0.6284946236559139
atr_slope_96b,range_breached,TREND_UP,4H,179,0.6239080459770114
atr_slope_96b,range_breached,TREND_UP,8H,179,0.7970272904483431
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,12H,324,0.7836065573770492
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,1H,324,0.8627865961199295
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,24H,324,0.8493645484949832
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,2H,324,0.7769265434880577
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,4H,319,0.8818327974276527
atr_slope_96b,range_breached,VOLATILITY_EXPANSION,8H,319,0.7615112160566706
atr_slope_96b,path_inside_70,HIGH_VOL,12H,163,0.7725225225225225
atr_slope_96b,path_inside_70,HIGH_VOL,1H,163,0.7430379746835443
atr_slope_96b,path_inside_70,HIGH_VOL,24H,163,0.9184615384615384
atr_slope_96b,path_inside_70,HIGH_VOL,2H,163,0.7133757961783439
atr_slope_96b,path_inside_70,HIGH_VOL,4H,163,0.6556776556776557
atr_slope_96b,path_inside_70,HIGH_VOL,8H,163,0.6867132867132867
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,12H,1024,0.8544535283993115
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,1H,1024,0.6547550590103781
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,24H,1024,0.7073380867498514
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,2H,1024,0.6300044984255511
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,4H,1016,0.6944404279930596
atr_slope_96b,path_inside_70,LOW_VOL_RANGE,8H,1016,0.8230552342394447
atr_slope_96b,path_inside_70,NORMAL_RANGE,12H,2314,0.7536937754822457
atr_slope_96b,path_inside_70,NORMAL_RANGE,1H,2314,0.6382543964828138
atr_slope_96b,path_inside_70,NORMAL_RANGE,24H,2314,0.8431595483914348
atr_slope_96b,path_inside_70,NORMAL_RANGE,2H,2314,0.7701820396492369
atr_slope_96b,path_inside_70,NORMAL_RANGE,4H,2303,0.7509443178117877
atr_slope_96b,path_inside_70,NORMAL_RANGE,8H,2303,0.7757740656373914
atr_slope_96b,path_inside_70,TREND_DOWN,12H,190,0.7621951219512195
atr_slope_96b,path_inside_70,TREND_DOWN,1H,190,0.7851071064263856
atr_slope_96b,path_inside_70,TREND_DOWN,24H,190,0.8960843373493976
atr_slope_96b,path_inside_70,TREND_DOWN,2H,190,0.7612600885186149
atr_slope_96b,path_inside_70,TREND_DOWN,4H,189,0.7464563328760859
atr_slope_96b,path_inside_70,TREND_DOWN,8H,189,0.8058080808080809
atr_slope_96b,path_inside_70,TREND_UP,12H,179,0.8068965517241379
atr_slope_96b,path_inside_70,TREND_UP,1H,179,0.5813823857302118
atr_slope_96b,path_inside_70,TREND_UP,24H,179,0.7594607379375591
atr_slope_96b,path_inside_70,TREND_UP,2H,179,0.628494623655914
atr_slope_96b,path_inside_70,TREND_UP,4H,179,0.6239080459770115
atr_slope_96b,path_inside_70,TREND_UP,8H,179,0.7970272904483431
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,12H,324,0.7836065573770492
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,1H,324,0.8627865961199295
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,24H,324,0.8493645484949833
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,2H,324,0.7769265434880577
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,4H,319,0.8818327974276527
atr_slope_96b,path_inside_70,VOLATILITY_EXPANSION,8H,319,0.7615112160566706
atr_slope_96b,trend_efficiency_high,HIGH_VOL,12H,163,0.5824340527577938
atr_slope_96b,trend_efficiency_high,HIGH_VOL,1H,163,0.6477855477855478
atr_slope_96b,trend_efficiency_high,HIGH_VOL,24H,163,0.5094202898550725
atr_slope_96b,trend_efficiency_high,HIGH_VOL,2H,163,0.5273597811217511
atr_slope_96b,trend_efficiency_high,HIGH_VOL,4H,163,0.5493230174081238
atr_slope_96b,trend_efficiency_high,HIGH_VOL,8H,163,0.5603070175438596
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,12H,1024,0.5378458326083174
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,1H,1024,0.5198966482658356
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,24H,1024,0.579717528342305
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,2H,1024,0.5148798487657688
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,4H,1016,0.5113961729270021
atr_slope_96b,trend_efficiency_high,LOW_VOL_RANGE,8H,1016,0.5070744151319064
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,12H,2314,0.5286838340486408
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,1H,2314,0.5039778193187284
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,24H,2314,0.5070372496611956
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,2H,2314,0.5046615597458496
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,4H,2303,0.5021867424771236
atr_slope_96b,trend_efficiency_high,NORMAL_RANGE,8H,2303,0.529686647291003
atr_slope_96b,trend_efficiency_high,TREND_DOWN,12H,190,0.5772160664819945
atr_slope_96b,trend_efficiency_high,TREND_DOWN,1H,190,0.6444805194805194
atr_slope_96b,trend_efficiency_high,TREND_DOWN,24H,190,0.5717893217893217
atr_slope_96b,trend_efficiency_high,TREND_DOWN,2H,190,0.5700301204819277
atr_slope_96b,trend_efficiency_high,TREND_DOWN,4H,189,0.5875695732838591
atr_slope_96b,trend_efficiency_high,TREND_DOWN,8H,189,0.5756802721088435
atr_slope_96b,trend_efficiency_high,TREND_UP,12H,179,0.5148635477582846
