policy,usable_snapshots,grid_recommendations,no_grid,grid_participation_rate,abstention_rate,no_grid_avoided_champion_breach_rate,containment_rate,breach_rate,median_time_to_first_breach,median_actual_recommended_width_ratio,median_range_utilization,median_recommended_width,median_width_vs_champion,wide_range_penalty,balance_score
v2_range70_trailing_buffer,30,30,0,1.0,0.0,,0.4666666666666667,0.5333333333333333,319.6448366833333,0.7469801565838787,0.5696732120943213,69.15644880900345,1.5765929736226552,0.5765929736226552,0.35134807194213563
champion_v0_1,30,30,0,1.0,0.0,,0.3333333333333333,0.6666666666666666,114.81508231666666,1.2012036060876303,0.6584804880560098,46.77500000000009,1.0,0.0,0.3333333333333333
v2_range70_floor,30,30,0,1.0,0.0,,0.3333333333333333,0.6666666666666666,114.81508231666666,1.2012036060876303,0.6584804880560098,46.77500000000009,1.0,0.0,0.3333333333333333
expansion_widen,30,30,0,1.0,0.0,,0.4,0.6,222.257717,0.8897804489538015,0.6173929541155658,63.14625000000024,1.3499999999999988,0.34999999999999887,0.33000000000000024
stress_filter_no_grid,30,5,25,0.16666666666666666,0.8333333333333334,0.8,1.0,0.0,,0.4742939898624173,0.4742939898624173,70.80000000000018,1.0,0.0,0.16666666666666666
