target,horizon,fold,model_family,feature_set,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,1,logistic,step11_individuals,631,19,0.030110935023771792,0.028207458374002608,0.04548898107521504,0.1310421237206429,0.7594599243206054,0.19607223276755148,0.033458372656186196,-0.0831154534624575,1.2939468428283576
range_continuation,1H,2,logistic,step11_individuals,631,23,0.03645007923930269,0.036998007430842896,-0.05187033701376631,0.15992279981536378,0.6194221967963387,0.06971103339307592,0.019966690843288313,-0.08814641750999158,1.1078916353847414
range_continuation,1H,3,logistic,step11_individuals,631,30,0.04754358161648178,0.04340122020913519,0.04218228066964458,0.17814248657643378,0.6967276760953965,0.18403048207268025,0.005145804011337877,0.011222722505177446,1.0622941821010117
range_continuation,2H,1,tree_depth2,compact_deredundant,631,19,0.030110935023771792,0.027016018357803886,0.0826934227190762,0.11166123221251023,0.8475232198142415,0.14982610734801366,0.011739994465826468,-0.026939924958474696,1.146893490165889
range_continuation,2H,2,tree_depth2,compact_deredundant,631,24,0.03803486529318542,0.03534647395383384,0.034262631016432676,0.155951460429682,0.671334431630972,0.12406993549683974,0.006441034183559794,-0.016718711749901267,0.8930637380042858
range_continuation,2H,3,tree_depth2,compact_deredundant,631,34,0.05388272583201268,0.04834669720665244,0.05482094658202885,0.19063244813984034,0.7625381811015863,0.14896343122182967,0.017292134705586014,0.06457878267406986,0.8973759473004425
range_continuation,4H,1,tree_depth2,step11_individuals,631,25,0.039619651347068144,0.03550088109553516,0.06797165686581685,0.14435665974989786,0.8064026402640264,0.1318542772557407,0.0058598697992477185,0.004146281410447132,1.0076135674853615
range_continuation,4H,2,tree_depth2,step11_individuals,631,23,0.03645007923930269,0.0343779913293462,0.022845564670779583,0.14094109987989303,0.733266590389016,0.10857718680929478,0.008745523249902666,-0.006798295232269253,0.9342309864140743
range_continuation,4H,3,tree_depth2,step11_individuals,631,28,0.044374009508716325,0.03933389288180934,0.07249537972645836,0.1580613298679201,0.7985074626865671,0.16552337150552404,0.014813849583501614,0.04335730978830435,0.8579209943696208
range_continuation,8H,1,tree_depth2,step12_interactions,631,27,0.042789223454833596,0.038225328662511125,0.07090033289727948,0.15338166729853017,0.8483566347804758,0.11909528960012773,0.010424555886620328,-0.015081437187849055,1.1052835243755863
range_continuation,8H,2,tree_depth2,step12_interactions,631,24,0.03803486529318542,0.03417840530699183,0.07127124856435907,0.14062270907103008,0.7277594728171335,0.14175076127483668,0.005893537394718866,-0.005242219604927968,1.0690604206555467
range_continuation,8H,3,tree_depth2,step12_interactions,631,35,0.0554675118858954,0.04775254108994543,0.08915470324849573,0.18293819626141092,0.7035953978906999,0.28937346946817444,0.015052338671240832,0.08464725719608644,0.9413166272987163
range_continuation,12H,1,logistic,all_step13,631,23,0.03645007923930269,0.03327321242331403,0.059966413171500865,0.1404610897827131,0.816004004576659,0.19801809882237492,0.02189387945088012,-0.05609088588340614,1.1975286978539974
range_continuation,12H,2,logistic,all_step13,631,27,0.042789223454833596,0.03580175197797808,0.12669043189544427,0.146305525339395,0.829102281089036,0.3114231900020625,0.009616943324338809,0.030196312038985165,1.1017928116866411
range_continuation,12H,3,logistic,all_step13,631,52,0.08240887480190175,0.07237603055858947,0.05798877150688431,0.2671210773971451,0.7633519330410522,0.2539794352923044,0.03670137364401912,0.12617188947753455,0.8435549561537071
range_continuation,24H,1,logistic,step11_individuals,631,11,0.017432646592709985,0.01762914734976773,0.027031456210535265,0.08945116855397996,0.9266862170087976,0.2989420966265155,0.04314203093584363,-0.17965949762200195,1.4586261802503449
range_continuation,24H,2,logistic,step11_individuals,631,14,0.022187004754358162,0.021727820362124388,0.013856720986510807,0.09606149264302308,0.8963880527899977,0.14083442926889572,0.023361731306473527,-0.08413165233035967,1.257217120825871
range_continuation,24H,3,logistic,step11_individuals,631,48,0.07606973058637084,0.0648397267558961,0.09713678799532344,0.23269398764697835,0.8500571755288736,0.34153961913155745,0.03480321931684115,0.1709554387046228,0.875544797466984
path_inside_70,1H,1,logistic,step11_individuals,631,19,0.030110935023771792,0.028207458374002608,0.04548898107521504,0.1310421237206429,0.7594599243206054,0.19607223276755148,0.033458372656186196,-0.0831154534624575,1.2939468428283576
path_inside_70,1H,2,logistic,step11_individuals,631,23,0.03645007923930269,0.036998007430842896,-0.05187033701376631,0.15992279981536378,0.6194221967963387,0.06971103339307592,0.019966690843288313,-0.08814641750999158,1.1078916353847414
path_inside_70,1H,3,logistic,step11_individuals,631,30,0.04754358161648178,0.04340122020913519,0.04218228066964458,0.17814248657643378,0.6967276760953965,0.18403048207268025,0.005145804011337877,0.011222722505177446,1.0622941821010117
path_inside_70,2H,1,tree_depth2,compact_deredundant,631,19,0.030110935023771792,0.027016018357803886,0.0826934227190762,0.11166123221251023,0.8475232198142415,0.14982610734801366,0.011739994465826468,-0.026939924958474696,1.146893490165889
path_inside_70,2H,2,tree_depth2,compact_deredundant,631,24,0.03803486529318542,0.03534647395383384,0.034262631016432676,0.155951460429682,0.671334431630972,0.12406993549683974,0.006441034183559794,-0.016718711749901267,0.8930637380042858
