horizon,n,mean_atr_sqrt_time_base,empirical_final_close_required_multiplier_50,empirical_final_close_required_multiplier_70,empirical_final_close_required_multiplier_90,empirical_path_excursion_required_multiplier_50,empirical_path_excursion_required_multiplier_70,empirical_path_excursion_required_multiplier_90
1H,4206,3.5642814686502287,1.2382750558163331,2.0360637683254006,3.8103174603173424,2.43344334433443,3.3001832009032586,5.442018824517309
2H,4206,5.040655193080247,1.289268066492851,2.172545129380966,4.091190881945588,2.5764221425201006,3.536706539902609,6.07834763230131
4H,4206,7.128562937300457,1.314323482780569,2.21635896656953,4.259943676829325,2.7065846514352634,3.8148154887362153,6.33139581657274
8H,4206,10.081310386160494,1.3590250825688304,2.3301306222928284,4.479145377436788,2.870866591303571,4.0364880063413455,6.470446746699968
12H,4206,12.347033192356824,1.4232800167778297,2.3776047625023873,4.647329578460347,2.9529430536572896,4.07952510403432,6.6346629825473435
24H,4206,17.46134179570179,1.3979579789816057,2.472875993921065,4.891512717052347,3.0152444116037573,4.199294614229913,6.847248166831012
