target,horizon,v1_column,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,range_continuation_probability,842,37,0.043942992874109264,0.21476510385985748,-4.111840937847961,0.6039339948407151,0.5791170052039617,0.061688644856099324,0.3594084323040381,-1.9355976272144413,0.5951642392222367
range_continuation,2H,range_continuation_probability,842,40,0.047505938242280284,0.21558244352731587,-3.761228406105144,0.6044797776985416,0.5635598503740649,0.06092990924974404,0.355845486935867,-1.9120908260568887,0.5911079704872603
range_continuation,4H,range_continuation_probability,842,40,0.047505938242280284,0.21522258604513067,-3.7545535873753266,0.6070192235940699,0.5724127182044888,0.06544408159180251,0.355845486935867,-1.9122672889990497,0.5715874659260081
range_continuation,8H,range_continuation_probability,842,53,0.06294536817102138,0.21100429625890738,-2.5681963528529304,0.5996974691075567,0.6385680464882704,0.10208428604001753,0.3404060570071259,-1.8114961883079574,0.6285310235636663
range_continuation,12H,range_continuation_probability,842,59,0.07007125890736342,0.21010215849168648,-2.1995462858756807,0.5962973855902769,0.6416866896118796,0.098542971402387,0.3332801662707839,-1.7659268700011828,0.6546912390790967
range_continuation,24H,range_continuation_probability,842,68,0.08076009501187649,0.21039313236342042,-1.7670577224560993,0.5916835918397377,0.638717890256878,0.10922236608926822,0.32259133016627084,-1.6986199023601947,0.6898951969550453
mean_reversion,1H,mean_reversion_probability,842,312,0.37054631828978624,0.4893179246912114,-1.0359198211172709,2.546226849621224,0.4255926463473633,0.30438313514661547,0.48472410926365805,-0.11338512352956637,-0.14999298368235406
mean_reversion,2H,mean_reversion_probability,842,414,0.4916864608076009,0.38335616697149644,-0.4809723164287285,2.057193182666348,0.49960494830466384,0.4504715171554811,0.36358396674584337,0.12731959140786123,-0.06350713742033733
mean_reversion,4H,mean_reversion_probability,842,521,0.6187648456057007,0.27186448051068884,-0.09890840844118798,1.4745022287147977,0.5926836122721103,0.6316697104267287,0.23650558194774357,0.40105754920307524,0.00037677104095152996
mean_reversion,8H,mean_reversion_probability,842,594,0.7054631828978623,0.1910654306294537,0.11602704258965046,0.9422065193620134,0.711116541761703,0.7862733323622024,0.14980724465558204,0.3448149340856506,0.1415573285841368
mean_reversion,12H,mean_reversion_probability,842,640,0.7600950118764845,0.14273573941805226,0.2573972378889565,0.6504419285869022,0.7875309405940594,0.8676682459433328,0.09517541567695974,0.1564718053413726,0.36355994365138006
mean_reversion,24H,mean_reversion_probability,842,670,0.7957244655581948,0.1098426277790974,0.3491314983656165,0.38722232579021015,0.8805796598403333,0.948455517057557,0.06253693586698333,-0.30119470103035123,0.9142760114409836
upside_breakout,1H,upside_breakout_probability,842,551,0.6543942992874109,0.3686559047268408,-0.6277190134855792,0.966484375967973,0.47261149674755676,0.649890610843199,0.3603788598574822,0.7262827254065382,0.07759592382569333
upside_breakout,2H,upside_breakout_probability,842,552,0.6555819477434679,0.3750551921377672,-0.6517041480201022,0.9808488948972883,0.44326586706646676,0.6266988312992545,0.3615665083135392,0.6761513316778379,-0.004653886200628242
upside_breakout,4H,upside_breakout_probability,842,556,0.6603325415676959,0.3833114866745843,-0.6893578296961551,1.001789739976518,0.4156877295366504,0.605880701572092,0.3763358669833729,0.6235571341973263,-0.11272927881746728
upside_breakout,8H,upside_breakout_probability,842,565,0.671021377672209,0.3883810828741092,-0.7419129221448288,1.0097208579472952,0.4087920513721606,0.612322225672215,0.384844893111639,0.6617910886204104,-0.11863513661565736
upside_breakout,12H,upside_breakout_probability,842,578,0.6864608076009501,0.3947468785985748,-0.8164541945841806,1.0245236719048718,0.38924714270735034,0.6258527274866775,0.3955337292161521,0.7044628388438919,-0.1483219859563283
upside_breakout,24H,upside_breakout_probability,842,614,0.7292161520190024,0.4141494914251781,-1.0593431353428002,1.0658660565290083,0.3982084690553746,0.6620992759577604,0.4454149643705463,0.8266126844494148,-0.23892778478581142
downside_breakdown,1H,downside_breakdown_probability,842,566,0.672209026128266,0.39712650652019,-0.7940454606931138,1.0346035942411778,0.4532186203717929,0.6467745346518237,0.4053889548693587,0.7376277194649975,0.0037760191791831564
downside_breakdown,2H,downside_breakdown_probability,842,538,0.6389548693586699,0.3826512096080761,-0.6573929829077232,1.0037179658804223,0.4561668460183917,0.6115886573875369,0.37536235154394304,0.6353360790720592,0.035012028552790966
downside_breakdown,4H,downside_breakdown_probability,842,520,0.6175771971496437,0.37814004571258913,-0.5979599480414002,0.9914580468741849,0.42793239369326325,0.564916783549791,0.35788301662707844,0.5390046722300199,0.012480978605040572
downside_breakdown,8H,downside_breakdown_probability,842,518,0.6152019002375297,0.38261035450118763,-0.6031959422483382,1.001779094324185,0.3942454359121026,0.5406443638856816,0.36045427553444176,0.4795174513512321,-0.05363364603832782
downside_breakdown,12H,downside_breakdown_probability,842,520,0.6175771971496437,0.38421629274346797,-0.61285851863962,1.0056226929862915,0.37916268514094603,0.5383769116159852,0.3652048693586698,0.47982114003076154,-0.06468004743663176
downside_breakdown,24H,downside_breakdown_probability,842,536,0.6365795724465558,0.37474432124703094,-0.6120454704421923,0.9840572623143072,0.4357318798166033,0.6267901922116861,0.36445736342042756,0.70151051181689,0.13250986789542876
trend_continuation,1H,trend_continuation_probability,842,242,0.28741092636579574,0.20448247837292163,0.015790733018460568,0.6001921673691256,0.5549242424242424,0.33584882147073836,0.028641686460807607,0.045785253646546176,0.9078980566950464
trend_continuation,2H,trend_continuation_probability,842,262,0.31116389548693585,0.21609791780285037,0.009930490923601987,0.6276280172205064,0.5670307975783101,0.3758234774745541,0.05476995249406179,0.0888285148135665,0.8357055274303007
trend_continuation,4H,trend_continuation_probability,842,288,0.342042755344418,0.23058057813539193,-0.013563378966064299,0.6574874690895891,0.5397237264340152,0.3905436831047817,0.08327351543942996,0.170738432856451,0.7856008571452728
trend_continuation,8H,trend_continuation_probability,842,267,0.3171021377672209,0.2170325971377672,0.04609653216974918,0.6264367195368716,0.5510568311349943,0.37527441075337753,0.056100118764845615,0.1394854950368109,0.87358767233817
trend_continuation,12H,trend_continuation_probability,842,249,0.29572446555819476,0.2061095567577197,0.08034494142302906,0.6022925346189304,0.5719336028769377,0.36864363235466563,0.034722446555819506,0.0983670051302935,0.9344388298883733
trend_continuation,24H,trend_continuation_probability,842,288,0.342042755344418,0.22811264464370548,0.0401928970674682,0.6504666554289205,0.5642235760128359,0.4182192672993628,0.08104073634204279,0.2061084226642982,0.8336154543582655
