prediction_timestamp,state,threshold,threshold_semantics
2026-07-28 20:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5059246595814694,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 20:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5060099183278393,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 21:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5060951770742091,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 21:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5061635724546634,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 22:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5061982411032865,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 22:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5062329097519095,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 23:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5062675784005326,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-28 23:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5065882728924358,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 00:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5062213535357019,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 00:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5062560221843249,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 01:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5061751286708711,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 01:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5060099183278393,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 02:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5060951770742091,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 02:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5061635724546634,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 03:00:00+00:00,ema_spread_atr_12_48b__low_abs,0.5061982411032865,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
2026-07-29 03:30:00+00:00,ema_spread_atr_12_48b__low_abs,0.5062329097519095,"expanding abs q30 using observations <= prediction_timestamp, min_periods=300"
