horizon,n,range_50_actual_coverage,range_50_coverage_error,range_70_actual_coverage,range_70_coverage_error,range_90_actual_coverage,range_90_coverage_error,range_50_average_width,range_70_average_width,range_90_average_width,range_50_average_width_pct_spot,range_70_average_width_pct_spot,range_90_average_width_pct_spot,assessment
1H,4206,0.302187351402758,-0.197812648597242,0.43675701378982407,-0.2632429862101759,0.621017593913457,-0.278982406086543,4.894700427960057,7.5976224441274365,11.980846409890631,0.0027380884596696696,0.004250099431050647,0.006702064617847184,SEVERELY UNDER-COVERED / TOO NARROW
2H,4206,0.2914883499762244,-0.20851165002377559,0.422491678554446,-0.27750832144555393,0.5996195910603899,-0.30038040893961016,6.9220970042796,10.744781264859725,16.943383262006655,0.0038722058046912603,0.006010606441935246,0.009478095204359391,SEVERELY UNDER-COVERED / TOO NARROW
4H,4206,0.2869709938183547,-0.21302900618164528,0.4186875891583452,-0.28131241084165476,0.5929624346172135,-0.3070375653827865,9.78923918212078,15.195173561578697,23.96181169757489,0.005476081562545252,0.00850015497958747,0.0134041936782916,SEVERELY UNDER-COVERED / TOO NARROW
8H,4206,0.29243937232524964,-0.20756062767475036,0.4194008559201141,-0.28059914407988584,0.5748930099857347,-0.32510699001426535,13.84414407988588,21.489327151688066,33.88702330004755,0.007744394400476136,0.01202109027493585,0.018956341808420644,SEVERELY UNDER-COVERED / TOO NARROW
12H,4206,0.2769852591535901,-0.22301474084640988,0.40204469805040416,-0.2979553019495958,0.5646695197337137,-0.3353304802662863,16.955461245839277,26.318944365192582,41.50286970993819,0.009484857026329578,0.014722780363735958,0.02321662969964838,SEVERELY UNDER-COVERED / TOO NARROW
24H,4206,0.28031383737517834,-0.21968616262482166,0.4063242986210176,-0.29367570137898236,0.5592011412268189,-0.34079885877318117,23.97865905848787,37.22040180694246,58.693994293865906,0.013413615245837777,0.02082102898400744,0.03283331923907221,SEVERELY UNDER-COVERED / TOO NARROW
