regime,event,horizon,n,eligible_rule,base_rate,mean_predicted_probability,brier,base_rate_brier,brier_delta_model_minus_base,relative_brier_improvement,log_loss,base_rate_log_loss,log_loss_delta_model_minus_base,auc,pr_auc_average_precision,ece
HIGH_VOL,mean_reversion,1H,287,mean_reversion_eligible,0.0,0.9978818815331011,0.9957926699303137,0.0,0.9957926699303137,,22.997920003217512,,,,,0.9978818815331011
HIGH_VOL,mean_reversion,2H,287,mean_reversion_eligible,0.003484320557491289,0.9978818815331011,0.9923257709756098,0.0034721800677439334,0.9888535909078658,-284.79329171150346,22.97705254183462,0.023197693479210486,22.95385484835541,0.1888111888111888,0.004291845493562232,0.9943975609756098
HIGH_VOL,mean_reversion,4H,287,mean_reversion_eligible,0.003484320557491289,0.9978818815331011,0.9923257709756098,0.0034721800677439334,0.9888535909078658,-284.79329171150346,22.97705254183462,0.023197693479210486,22.95385484835541,0.1888111888111888,0.004291845493562232,0.9943975609756098
HIGH_VOL,mean_reversion,8H,287,mean_reversion_eligible,0.003484320557491289,0.9978818815331011,0.9923257709756098,0.0034721800677439334,0.9888535909078658,-284.79329171150346,22.97705254183462,0.023197693479210486,22.95385484835541,0.1888111888111888,0.004291845493562232,0.9943975609756098
HIGH_VOL,mean_reversion,12H,287,mean_reversion_eligible,0.003484320557491289,0.9978818815331011,0.9923257709756098,0.0034721800677439334,0.9888535909078658,-284.79329171150346,22.97705254183462,0.023197693479210486,22.95385484835541,0.1888111888111888,0.004291845493562232,0.9943975609756098
HIGH_VOL,mean_reversion,24H,269,mean_reversion_eligible,0.0,0.9980866171003717,0.9962017660594795,0.0,0.9962017660594795,,24.17544406424716,,,,,0.9980866171003717
HIGH_VOL,upside_breakout,1H,287,all_rows,0.5574912891986062,0.7521271777003484,0.3544426431707317,0.24669475166628219,0.10774789150444952,-0.43676604701427185,1.1947608647684655,0.6865220400883549,0.5082388246801106,0.4232529527559055,0.48897499627720736,0.28565331010452955
HIGH_VOL,upside_breakout,2H,287,all_rows,0.5958188153310104,0.7521271777003484,0.30330745153310107,0.24081875462856167,0.0624886969045394,-0.25948434539877024,1.0069830126697477,0.6746706118213175,0.33231240084843017,0.5090492034684412,0.5861164040800234,0.20768188153310102
HIGH_VOL,upside_breakout,4H,287,all_rows,0.6411149825783972,0.7521271777003484,0.27700292191637627,0.23008656169189867,0.04691636022447759,-0.20390743326983932,0.9334476345928909,0.6527739746874753,0.2806736599054156,0.49963064584212746,0.6210320321786041,0.2155689895470383
HIGH_VOL,upside_breakout,8H,287,all_rows,0.7665505226480837,0.7521271777003484,0.21837156303135888,0.17895081887603345,0.03942074415532543,-0.2202881462232022,0.6904634663646575,0.5434109067118363,0.14705255965282116,0.5181139755766622,0.7865183026200417,0.17968397212543555
