target,horizon,feature_set,model_family,raw_brier,selected_brier,calibration,raw_ece,selected_ece
range_continuation,1H,step11_individuals,logistic,0.03945101821978215,0.03945101821978215,none,0.0089790578815334,0.0089790578815334
range_continuation,1H,step11_individuals,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
range_continuation,1H,step11_individuals,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
range_continuation,1H,step12_interactions,logistic,0.040241176187141105,0.04014573112873879,platt,0.012095151396619368,0.0010378867604277503
range_continuation,1H,step12_interactions,tree_depth2,0.04047531207098646,0.04045957162903521,platt,0.0031014195610752776,0.00042356035108136875
range_continuation,1H,step12_interactions,boosted_stumps,0.04102040931835645,0.04102040816328377,platt,3.3986631924776134e-05,1.3585759001816244e-07
range_continuation,1H,all_step13,logistic,0.03948362768529875,0.03948362768529875,none,0.008945096394090702,0.008945096394090702
range_continuation,1H,all_step13,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
range_continuation,1H,all_step13,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
range_continuation,1H,compact_deredundant,logistic,0.039521693880355487,0.039521693880355487,none,0.008339371731376943,0.008339371731376943
range_continuation,1H,compact_deredundant,tree_depth2,0.03975987827733749,0.03975987827733749,none,0.004544041334821222,0.004544041334821222
range_continuation,1H,compact_deredundant,boosted_stumps,0.04093512323610914,0.04093512323610914,none,0.0001470741866813688,0.0001470741866813688
range_continuation,2H,step11_individuals,logistic,0.040318585996880804,0.040318585996880804,none,0.006283771023780607,0.006283771023780607
range_continuation,2H,step11_individuals,tree_depth2,0.04005953936399431,0.039978032480059794,platt,0.007063161306570488,0.00234687168014685
range_continuation,2H,step11_individuals,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
range_continuation,2H,step12_interactions,logistic,0.04057589930192755,0.04057589930192755,none,0.0075279593366026215,0.0075279593366026215
range_continuation,2H,step12_interactions,tree_depth2,0.0411454617629851,0.04108214778667813,platt,0.006273609878394676,0.0006928033359009725
range_continuation,2H,step12_interactions,boosted_stumps,0.04220764474799023,0.04220327982055005,platt,0.002089252566579533,6.989046688353484e-06
range_continuation,2H,all_step13,logistic,0.04022931402199677,0.04022931402199677,none,0.004609571937812506,0.004609571937812506
range_continuation,2H,all_step13,tree_depth2,0.04005953936399431,0.039978032480059794,platt,0.007063161306570488,0.00234687168014685
range_continuation,2H,all_step13,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
range_continuation,2H,compact_deredundant,logistic,0.04021537707906349,0.04021537707906349,none,0.0026856941788342757,0.0026856941788342757
range_continuation,2H,compact_deredundant,tree_depth2,0.040066011250791386,0.03991199630055464,platt,0.010307039539819107,0.002064042562878085
range_continuation,2H,compact_deredundant,boosted_stumps,0.04199981037134441,0.04199280851483052,platt,0.0018565589399495777,0.0006871613893126294
range_continuation,4H,step11_individuals,logistic,0.03306266062668905,0.03301968384683086,platt,0.017169842339944306,0.002129317827187397
range_continuation,4H,step11_individuals,tree_depth2,0.03259744343849317,0.03259744343849317,none,0.0031392455496607264,0.0031392455496607264
range_continuation,4H,step11_individuals,boosted_stumps,0.03461081297284173,0.03456686199401952,platt,0.007619314720155035,0.00032723983483978064
range_continuation,4H,step12_interactions,logistic,0.033594664649595166,0.03335049624975163,platt,0.017648311440070896,0.0010133969673415885
range_continuation,4H,step12_interactions,tree_depth2,0.033584107590700976,0.033584107590700976,none,0.0032580755204517364,0.0032580755204517364
range_continuation,4H,step12_interactions,boosted_stumps,0.03473133885691991,0.03467729774761486,platt,0.007351511477622363,6.00974257441364e-05
range_continuation,4H,all_step13,logistic,0.03296501409263726,0.03290214051455602,platt,0.01613787162685681,0.0023724160200346506
range_continuation,4H,all_step13,tree_depth2,0.03259744343849317,0.03259744343849317,none,0.0031392455496607264,0.0031392455496607264
range_continuation,4H,all_step13,boosted_stumps,0.03461081297284173,0.03456686199401952,platt,0.007619314720155035,0.00032723983483978064
