feature,12H,1H,24H,2H,4H,8H
rolling_vwap_z_24b,116.759,110.431,68.012,100.251,119.009,99.78
rolling_vwap_z_288b,140.84,68.556,63.882,71.43,132.206,131.675
rolling_vwap_z_96b,141.601,85.441,48.173,74.871,145.087,145.762
rsi_14b,116.716,91.042,56.906,92.872,127.887,106.895
rsi_24b,132.792,87.971,40.826,78.536,134.958,133.741
rsi_48b,141.743,76.515,61.803,78.299,135.269,129.314
rsi_6b,83.683,109.424,80.181,101.711,91.121,89.18
rsi_neutral_dist_14b,116.716,91.042,56.906,92.872,127.887,106.895
rsi_neutral_dist_24b,132.792,87.971,40.826,78.536,134.958,133.741
rsi_neutral_dist_48b,141.743,76.515,61.803,78.299,135.269,129.314
rsi_neutral_dist_6b,83.683,109.424,80.181,101.711,91.121,89.18
rsi_slope_14b,105.063,107.393,75.931,100.233,92.383,107.641
rsi_slope_24b,91.389,93.309,74.576,91.318,87.759,85.939
rsi_slope_48b,64.659,82.196,63.45,79.571,114.152,64.529
rsi_slope_6b,114.817,131.645,102.338,129.439,120.193,116.407
rv_12b,133.995,103.841,141.031,111.385,133.881,130.835
rv_24b,132.47,100.428,139.163,107.394,126.332,126.815
rv_288b,98.074,79.564,107.251,76.814,87.919,85.351
rv_48b,126.345,92.316,127.46,98.959,114.051,120.695
rv_6b,121.129,84.685,127.327,96.502,109.045,117.153
rv_96b,118.448,78.004,121.26,92.114,101.814,106.387
rv_slope_12b,66.371,80.151,55.628,66.677,71.341,117.226
rv_slope_24b,90.153,67.48,88.709,76.374,67.618,67.26
rv_slope_288b,129.653,77.414,101.114,83.439,133.689,113.099
rv_slope_48b,112.15,108.723,122.799,132.114,137.087,104.892
rv_slope_6b,52.606,83.016,52.131,75.379,90.833,60.428
rv_slope_96b,132.923,106.065,154.025,122.382,118.448,146.033
sma_dist_12b,88.379,117.162,79.471,109.246,98.133,91.1
sma_dist_24b,132.031,102.895,61.121,95.868,131.201,134.794
sma_dist_288b,128.892,66.471,66.299,67.632,113.574,126.952
sma_dist_48b,133.173,91.249,48.3,83.893,134.742,145.06
sma_dist_6b,104.686,126.061,101.562,123.698,114.581,106.868
sma_dist_96b,132.697,73.394,47.352,73.398,135.269,135.943
sma_slope_12b,130.224,79.283,65.307,80.986,135.819,114.067
sma_slope_24b,141.648,58.874,56.308,64.628,135.891,145.57
sma_slope_288b,69.591,64.178,96.862,51.649,81.614,66.342
