interaction,family,why,features,target,horizon,n,base_n,base_rate,conditioned_rate,absolute_lift,relative_lift,auc_edge,best_individual_abs_lift,incremental_abs_lift,best_individual_detail,saturated_target,sample_caveat,thirds,min_n,lifts,chronologically_stable,regime_count,positive_regimes,negative_regimes,regime_class,survives_nonoverlap,nonoverlap_n,nonoverlap_lift,brier_improvement_vs_main2,rank_score
high_adx_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,trend strength plus ATR acceleration tests avoidance state,adx_48b+atr_slope_96b,max_abs_excursion_ge_1_5_atr,1H,791,4206,0.8514027579648121,0.7901390644753477,-0.06126369348946448,0.9280438160243821,0.04054353532532812,0.04493580599144076,0.01632788749802372,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8514027579648121, ""conditioned_rate"": 0.8193343898573693, ""absolute_lift"": -0.032068368107442846, ""relative_lift"": 0.9623346673387588, ""feature"": ""adx_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8514027579648121, ""conditioned_rate"": 0.8064669519733714, ""absolute_lift"": -0.04493580599144076, ""relative_lift"": 0.9472214465233175, ""feature"": ""atr_slope_96b""}]",False,usable,3,229,"-0.0715,-0.0749,-0.0394",True,6,0,6,UNIVERSAL,True,68,-0.1317244846656611,,49.901357044603884
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,path_inside_70,1H,808,4206,0.04303376129339039,0.08044554455445545,0.037411783261065056,1.8693588972156885,0.07622868123949078,0.021942466915801366,0.01546931634526369,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.04303376129339039, ""conditioned_rate"": 0.06497622820919176, ""absolute_lift"": 0.021942466915801366, ""relative_lift"": 1.5098895903196716, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.04303376129339039, ""conditioned_rate"": 0.061816452686638136, ""absolute_lift"": 0.018782691393247744, ""relative_lift"": 1.4364640883977902, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"0.0438,0.0331,0.0367",True,6,6,0,UNIVERSAL,True,69,0.06465997770345597,,49.825253798108164
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,range_breached,1H,808,4206,0.9569662387066096,0.9195544554455446,-0.03741178326106498,0.9609058483488101,0.07622868123949073,0.021942466915801373,0.015469316345263606,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.9569662387066096, ""conditioned_rate"": 0.9350237717908082, ""absolute_lift"": -0.021942466915801373, ""relative_lift"": 0.9770708035160595, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.9569662387066096, ""conditioned_rate"": 0.9381835473133618, ""absolute_lift"": -0.01878269139324773, ""relative_lift"": 0.9803726708074534, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.0438,-0.0331,-0.0367",True,6,0,6,UNIVERSAL,True,69,-0.06465997770345588,,49.82525379810814
ema_spread_high_and_rising_atr,COMPRESSION_X_TREND_BREAKOUT,MA spread with accelerating ATR tests trend transition,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,8H,837,4206,0.8549690917736567,0.7467144563918757,-0.10825463538178093,0.873381814122422,0.10760270975036013,0.08036138849262953,0.027893246889151402,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.805863708399366, ""absolute_lift"": -0.0491053833742906, ""relative_lift"": 0.9425647267874676, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.7746077032810271, ""absolute_lift"": -0.08036138849262953, ""relative_lift"": 0.9060066740823137, ""feature"": ""atr_slope_96b""}]",False,usable,3,261,"-0.1446,-0.1070,-0.0769",True,6,0,6,UNIVERSAL,False,9,0.15909090909090906,-0.00030197689857736076,49.70944201754369
ema_spread_low_and_falling_atr,VOLATILITY_X_PATH_EFFICIENCY,flat MA spread with falling ATR tests stable range,ema_spread_atr_12_48b+atr_slope_96b,realized_over_range_width_ge_1,1H,768,4206,0.8699476937708036,0.9244791666666666,0.05453147289586302,1.0626836225744738,0.0556047970669602,0.0468378506894912,0.00769362220637182,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.893026941362916, ""absolute_lift"": 0.02307924759211244, ""relative_lift"": 1.0265294658027944, ""feature"": ""ema_spread_atr_12_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.9167855444602948, ""absolute_lift"": 0.0468378506894912, ""relative_lift"": 1.0538398469527193, ""feature"": ""atr_slope_96b""}]",False,usable,3,244,"0.0782,0.0423,0.0416",True,4,4,0,UNIVERSAL,True,72,0.09259259259259256,,49.60765028937013
rising_atr_and_high_efficiency,VOLATILITY_X_PATH_EFFICIENCY,volatility acceleration with efficient path tests trend onset,atr_slope_96b+price_efficiency_96b,realized_over_range_width_ge_1,1H,779,4206,0.8699476937708036,0.8112965340179717,-0.05865115975283186,0.9325808204644955,0.04480075424449892,0.0468378506894912,0.01181330906334066,"[{""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8231098430813124, ""absolute_lift"": -0.0468378506894912, ""relative_lift"": 0.9461601530472806, ""feature"": ""atr_slope_96b""}, {""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8423137876386688, ""absolute_lift"": -0.02763390613213479, ""relative_lift"": 0.9682349797234876, ""feature"": ""price_efficiency_96b""}]",False,usable,3,235,"-0.0713,-0.0461,-0.0587",True,6,0,6,UNIVERSAL,True,66,-0.09427609427609429,,49.56726423496699
low_adx_and_falling_atr,VOLATILITY_X_PATH_EFFICIENCY,weak trend plus falling ATR tests range,adx_48b+atr_slope_96b,realized_over_range_width_ge_1,1H,796,4206,0.8699476937708036,0.9246231155778895,0.054675421807085844,1.062849091041433,0.052702934288896275,0.0468378506894912,0.007837571117594644,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.8922345483359746, ""absolute_lift"": 0.022286854565170988, ""relative_lift"": 1.0256186144578052, ""feature"": ""adx_48b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.9167855444602948, ""absolute_lift"": 0.0468378506894912, ""relative_lift"": 1.0538398469527193, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"0.0696,0.0564,0.0385",True,4,4,0,UNIVERSAL,True,68,0.05991285403050106,,49.404291049369576
high_vwap_displacement_and_rising_atr,STRUCTURE_X_VOLATILITY,large VWAP displacement with rising ATR tests directional stress,rolling_vwap_z_96b+atr_slope_96b,realized_over_range_width_ge_1,8H,808,4206,0.8549690917736567,0.7487623762376238,-0.10620671553603289,0.8757771286027379,0.10173188789000531,0.08036138849262953,0.025845327043403366,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.8153724247226625, ""absolute_lift"": -0.03959666705099418, ""relative_lift"": 0.9536864344781754, ""feature"": ""rolling_vwap_z_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8549690917736567, ""conditioned_rate"": 0.7746077032810271, ""absolute_lift"": -0.08036138849262953, ""relative_lift"": 0.9060066740823137, ""feature"": ""atr_slope_96b""}]",False,usable,3,254,"-0.1265,-0.0916,-0.1016",True,6,0,6,UNIVERSAL,False,8,0.15909090909090906,-0.0002609902490261218,48.846586959386194
donchian_edge_and_rising_rv,STRUCTURE_X_VOLATILITY,channel-edge position with rising variance tests breakout risk,donchian_pos_96b+rv_slope_96b,max_abs_excursion_ge_1_5_atr,2H,677,4206,0.9679029957203994,0.9423929098966026,-0.02551008582379677,0.9736439643883839,0.08770890763030287,0.016405135520684677,0.009104950303112092,"[{""n"": 1265, ""base_n"": 4206, ""base_rate"": 0.9679029957203994, ""conditioned_rate"": 0.9604743083003953, ""absolute_lift"": -0.007428687420004132, ""relative_lift"": 0.9923249670133782, ""feature"": ""donchian_pos_96b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.9679029957203994, ""conditioned_rate"": 0.9514978601997147, ""absolute_lift"": -0.016405135520684677, ""relative_lift"": 0.9830508474576272, ""feature"": ""rv_slope_96b""}]",False,usable,3,213,"-0.0343,-0.0284,-0.0147",True,5,0,5,UNIVERSAL,True,49,-0.010088126159554678,,48.80631893352881
low_rv_and_falling_rv_slope,VOL_LEVEL_X_VOL_SLOPE,quiet and decelerating realized variance tests stable range,rv_12b+rv_slope_96b,realized_over_range_width_ge_1,1H,874,4206,0.8699476937708036,0.9347826086956522,0.06483491492484861,1.0745273714604846,0.05322205195873242,0.056359754723649624,0.008475160201198984,"[{""n"": 1262, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.9263074484944532, ""absolute_lift"": 0.056359754723649624, ""relative_lift"": 1.0647852222923395, ""feature"": ""rv_12b""}, {""n"": 2103, ""base_n"": 4206, ""base_rate"": 0.8699476937708036, ""conditioned_rate"": 0.9158345221112696, ""absolute_lift"": 0.04588682834046598, ""relative_lift"": 1.0527466520907351, ""feature"": ""rv_slope_96b""}]",False,usable,3,197,"0.0694,0.0580,0.0732",True,3,3,0,UNIVERSAL,True,63,0.1322751322751322,,48.71596676377634
