target,horizon,strategy_relevance,feature_set,model_family,calibration,split,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,BOTH,step11_individuals,logistic,none,validation,840,36,0.04285714285714286,0.03945101821978215,0.03825878689786766,0.164789274412993,0.7268173023770038,0.16889408246688467,0.0089790578815334,0.002761106489196234,1.0889489549063713
range_continuation,1H,BOTH,step11_individuals,tree_depth2,none,validation,840,36,0.04285714285714286,0.03975987827733749,0.030729362821225625,0.1707150057046774,0.6291804864566058,0.11481607662132182,0.004544041334821222,-0.002572193657196743,0.9475974651176906
range_continuation,1H,BOTH,step11_individuals,boosted_stumps,none,validation,840,36,0.04285714285714286,0.04093512323610914,0.0020791133892743563,0.17591323167422301,0.6143587617468215,0.0591243745759117,0.0001470741866813688,0.0024059362312049306,1.0040355974949353
range_continuation,1H,BOTH,step12_interactions,logistic,platt,validation,840,36,0.04285714285714286,0.04014573112873879,0.021323000041987616,0.16797951308420442,0.7163833609729132,0.13176571126530257,0.0010378867604277503,0.014409133357567881,1.005902067651474
range_continuation,1H,BOTH,step12_interactions,tree_depth2,platt,validation,840,36,0.04285714285714286,0.04045957162903521,0.013672162190499382,0.17155100785001268,0.6214414040906578,0.07083970984665568,0.00042356035108136875,0.005146841811446597,1.0015646421072806
range_continuation,1H,BOTH,step12_interactions,boosted_stumps,platt,validation,840,36,0.04285714285714286,0.04102040816328377,2.815848754167405e-08,0.17692035111816892,0.5727611940298507,0.03945853835817518,1.3585759001816244e-07,,
range_continuation,1H,BOTH,all_step13,logistic,none,validation,840,36,0.04285714285714286,0.03948362768529875,0.03746382980069396,0.16506554545252933,0.7200110558319514,0.16457939911442235,0.008945096394090702,-0.0003750017641499285,1.0911364585582422
range_continuation,1H,BOTH,all_step13,tree_depth2,none,validation,840,36,0.04285714285714286,0.03975987827733749,0.030729362821225625,0.1707150057046774,0.6291804864566058,0.11481607662132182,0.004544041334821222,-0.002572193657196743,0.9475974651176906
range_continuation,1H,BOTH,all_step13,boosted_stumps,none,validation,840,36,0.04285714285714286,0.04093512323610914,0.0020791133892743563,0.17591323167422301,0.6143587617468215,0.0591243745759117,0.0001470741866813688,0.0024059362312049306,1.0040355974949353
range_continuation,1H,BOTH,compact_deredundant,logistic,none,validation,840,36,0.04285714285714286,0.039521693880355487,0.036535847957282486,0.16504509163080228,0.7272664455500276,0.15495711031459095,0.008339371731376943,0.00261301606047084,1.0881778771339834
range_continuation,1H,BOTH,compact_deredundant,tree_depth2,none,validation,840,36,0.04285714285714286,0.03975987827733749,0.030729362821225625,0.1707150057046774,0.6291804864566058,0.11481607662132182,0.004544041334821222,-0.002572193657196743,0.9475974651176906
range_continuation,1H,BOTH,compact_deredundant,boosted_stumps,none,validation,840,36,0.04285714285714286,0.04093512323610914,0.0020791133892743563,0.17591323167422301,0.6143587617468215,0.0591243745759117,0.0001470741866813688,0.0024059362312049306,1.0040355974949353
range_continuation,2H,BOTH,step11_individuals,logistic,none,validation,838,37,0.0441527446300716,0.040318585996880804,0.04475631754362164,0.1639201896777653,0.787765293383271,0.16720377225580205,0.006283771023780607,0.023083755470833297,1.0661120205327066
range_continuation,2H,BOTH,step11_individuals,tree_depth2,platt,validation,838,37,0.0441527446300716,0.039978032480059794,0.052824844438556395,0.16314235361995608,0.7485575463103553,0.11572427480322442,0.00234687168014685,0.007566975244457118,1.0021384438061054
