target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
range_continuation,1H,validation,0.04282315622521808,840,36,0.04285714285714286,0.04102040931835645,0.0,0.1769203652045276,0.5727611940298507,0.03945853835817518,3.3986631924776134e-05,,
range_continuation,1H,test,0.04282315622521808,842,37,0.043942992874109264,0.042013260285495437,0.0,0.18029400258440756,0.5007554137988921,0.04226609892127624,0.001119836648891183,,
range_continuation,2H,validation,0.04206349206349207,838,37,0.0441527446300716,0.04220764474799023,0.0,0.18097765519546255,0.616290447751122,0.03587276844355527,0.002089252566579533,,
range_continuation,2H,test,0.04206349206349207,842,40,0.047505938242280284,0.04527874429440995,0.0,0.19145840153423493,0.45885286783042395,0.05358522696948096,0.00544244617878821,,
range_continuation,4H,validation,0.04332273449920509,834,30,0.03597122302158273,0.03473133885691991,0.0,0.15561250937373147,0.46355721393034827,0.05358755939860018,0.0073515114776223495,,
range_continuation,4H,test,0.04332273449920509,842,40,0.047505938242280284,0.045266623267557024,0.0,0.1913100140303199,0.5106608478802993,0.05095961863468292,0.004183203743075195,,
range_continuation,8H,validation,0.05063795853269538,826,38,0.04600484261501211,0.04390986283408675,0.0,0.18680933236168015,0.4282994923857868,0.07027577410574361,0.00463311591768327,,
range_continuation,8H,test,0.05063795853269538,842,53,0.06294536817102138,0.0591347211288415,0.0,0.23646351640787067,0.4768156491379104,0.06509763682920512,0.012307409638326001,,
range_continuation,12H,validation,0.0476,818,52,0.06356968215158924,0.05978360841075796,0.0,0.23923461715123537,0.5373317935328379,0.08461385907892188,0.015969682151589247,,
range_continuation,12H,test,0.0476,842,59,0.07007125890736342,0.06566623505938243,0.0,0.25871433164869856,0.4264995562482412,0.08296164111268055,0.022471258907363414,,
range_continuation,24H,validation,0.03836833602584814,794,36,0.04534005037783375,0.043332935010574954,0.0,0.18518217821927074,0.5916153620639109,0.03974118956503733,0.006971714351985611,,
range_continuation,24H,test,0.03836833602584814,842,68,0.08076009501187649,0.07603496329547871,0.0,0.2992842729854029,0.41571667426660586,0.0990618506153507,0.042391758986028344,,
